lat,lon,composite_index
34.3,126.95,49.87
34.3,127.0,56.03
34.35,126.15,43.57
34.35,126.2,44.66
34.35,126.3,45.05
34.35,126.5,43.94
34.35,126.55,47.08
34.35,126.6,49.75
34.35,126.65,53.33
34.35,126.7,61.88
34.35,126.75,51.15
34.35,126.85,50.17
34.35,126.9,56.43
34.35,126.95,54.64
34.35,127.05,50.71
34.4,126.1,42.3
34.4,126.15,43.27
34.4,126.2,44.09
34.4,126.25,45.88
34.4,126.3,46.52
34.4,126.35,46.55
34.4,126.5,44.85
34.4,126.55,46.12
34.4,126.6,48.72
34.4,126.65,50.15
34.4,126.7,53.72
34.4,126.8,49.22
34.4,126.85,47.15
34.4,126.9,50.53
34.4,127.5,47.56
34.45,126.15,42.71
34.45,126.2,43.86
34.45,126.25,46.84
34.45,126.3,47.02
34.45,126.35,47.22
34.45,126.5,47.37
34.45,126.55,46.76
34.45,126.6,50.02
34.45,126.65,54.53
34.45,126.7,51.19
34.45,126.75,47.23
34.45,126.8,49.55
34.45,126.85,50.76
34.45,126.9,50.81
34.45,126.95,50.89
34.45,127.0,51.26
34.45,127.05,50.3
34.45,127.1,49.61
34.45,127.15,51.01
34.45,127.2,52.55
34.45,127.25,49.33
34.45,127.3,46.79
34.45,127.35,44.11
34.45,127.5,49.06
34.45,127.55,49.08
34.5,126.2,44.92
34.5,126.25,45.9
34.5,126.3,46.49
34.5,126.35,47.78
34.5,126.45,48.06
34.5,126.5,48.49
34.5,126.55,48.76
34.5,126.6,50.71
34.5,126.65,54.21
34.5,126.7,54.52
34.5,126.75,48.0
34.5,126.8,52.0
34.5,126.85,55.27
34.5,126.9,54.37
34.5,126.95,51.28
34.5,127.3,50.39
34.5,127.35,49.51
34.5,127.4,53.27
34.5,127.45,48.78
34.5,127.5,49.78
34.5,127.75,50.32
34.5,127.8,51.65
34.55,126.05,42.15
34.55,126.1,43.1
34.55,126.25,44.21
34.55,126.3,43.96
34.55,126.35,44.28
34.55,126.4,45.95
34.55,126.45,47.25
34.55,126.5,49.02
34.55,126.55,49.67
34.55,126.6,50.12
34.55,126.65,52.91
34.55,126.7,53.21
34.55,126.75,49.59
34.55,126.8,50.77
34.55,126.85,52.32
34.55,126.9,57.28
34.55,126.95,55.52
34.55,127.0,51.49
34.55,127.15,50.86
34.55,127.2,49.74
34.55,127.25,51.31
34.55,127.3,53.95
34.55,127.35,51.11
34.55,127.4,52.39
34.55,127.65,51.13
34.55,127.7,48.74
34.55,127.75,52.46
34.6,125.85,44.5
34.6,126.05,42.27
34.6,126.1,42.46
34.6,126.15,40.87
34.6,126.3,43.29
34.6,126.35,43.0
34.6,126.4,44.27
34.6,126.45,45.76
34.6,126.5,47.6
34.6,126.55,49.11
34.6,126.6,51.82
34.6,126.65,50.88
34.6,126.7,54.05
34.6,126.75,51.94
34.6,126.8,52.15
34.6,126.85,57.74
34.6,126.9,55.92
34.6,126.95,53.7
34.6,127.0,53.56
34.6,127.2,50.25
34.6,127.25,54.13
34.6,127.3,54.42
34.6,127.35,53.68
34.6,127.4,53.23
34.6,127.45,55.59
34.6,127.5,51.99
34.6,127.55,48.58
34.6,127.75,53.8
34.6,127.8,56.25
34.65,125.4,40.82
34.65,125.45,40.24
34.65,125.95,42.85
34.65,126.0,43.02
34.65,126.1,41.72
34.65,126.15,39.55
34.65,126.2,39.24
34.65,126.3,41.64
34.65,126.35,41.06
34.65,126.4,41.64
34.65,126.45,43.89
34.65,126.5,45.89
34.65,126.55,48.51
34.65,126.6,50.83
34.65,126.65,52.98
34.65,126.7,53.45
34.65,126.75,51.94
34.65,126.8,52.75
34.65,126.85,52.92
34.65,126.9,54.92
34.65,126.95,57.82
34.65,127.0,58.71
34.65,127.05,57.99
34.65,127.1,53.13
34.65,127.25,52.25
34.65,127.3,52.21
34.65,127.35,52.0
34.65,127.4,51.67
34.65,127.45,51.39
34.65,127.6,52.43
34.65,127.75,54.84
34.65,127.8,54.41
34.65,128.25,48.07
34.7,125.4,40.34
34.7,125.9,42.66
34.7,125.95,42.73
34.7,126.0,42.37
34.7,126.1,42.05
34.7,126.15,43.0
34.7,126.2,41.25
34.7,126.3,42.79
34.7,126.35,41.58
34.7,126.4,41.72
34.7,126.45,42.34
34.7,126.5,43.7
34.7,126.55,46.94
34.7,126.6,49.06
34.7,126.65,52.25
34.7,126.7,51.84
34.7,126.75,50.64
34.7,126.8,50.34
34.7,126.85,56.67
34.7,126.9,56.08
34.7,126.95,60.2
34.7,127.0,64.6
34.7,127.05,61.26
34.7,127.1,59.3
34.7,127.15,56.68
34.7,127.2,56.9
34.7,127.25,51.38
34.7,127.3,50.7
34.7,127.35,52.06
34.7,127.4,52.66
34.7,127.45,51.58
34.7,127.55,53.63
34.7,127.6,51.98
34.7,127.65,52.98
34.7,127.8,51.14
34.7,128.0,54.63
34.7,128.05,53.05
34.7,128.2,59.39
34.7,128.6,55.39
34.75,125.9,43.2
34.75,125.95,42.87
34.75,126.0,41.91
34.75,126.1,43.6
34.75,126.15,43.51
34.75,126.2,41.33
34.75,126.3,43.48
34.75,126.4,41.53
34.75,126.45,41.51
34.75,126.5,41.0
34.75,126.55,46.05
34.75,126.6,45.11
34.75,126.65,50.41
34.75,126.7,58.55
34.75,126.75,53.92
34.75,126.8,55.95
34.75,126.85,56.76
34.75,126.9,56.34
34.75,126.95,59.98
34.75,127.0,59.37
34.75,127.05,60.9
34.75,127.1,61.4
34.75,127.15,56.97
34.75,127.2,53.26
34.75,127.25,53.4
34.75,127.3,54.61
34.75,127.35,54.64
34.75,127.4,54.57
34.75,127.6,52.34
34.75,127.65,53.38
34.75,127.7,54.07
34.75,127.75,54.36
34.75,127.85,57.39
34.75,127.9,59.8
34.75,127.95,60.52
34.75,128.0,65.17
34.75,128.05,61.26
34.75,128.4,52.81
34.75,128.45,52.09
34.75,128.5,52.05
34.75,128.6,53.07
34.75,128.65,53.76
34.8,126.0,42.44
34.8,126.1,46.17
34.8,126.15,42.65
34.8,126.35,41.51
34.8,126.4,42.17
34.8,126.45,43.83
34.8,126.5,42.65
34.8,126.55,43.2
34.8,126.6,42.54
34.8,126.65,45.45
34.8,126.7,49.27
34.8,126.75,53.89
34.8,126.8,58.9
34.8,126.85,57.59
34.8,126.9,57.84
34.8,126.95,58.88
34.8,127.0,59.28
34.8,127.05,59.22
34.8,127.1,58.53
34.8,127.15,58.83
34.8,127.2,60.7
34.8,127.25,54.65
34.8,127.3,57.34
34.8,127.35,55.48
34.8,127.4,53.95
34.8,127.55,53.5
34.8,127.6,55.18
34.8,127.65,53.39
34.8,127.7,57.67
34.8,127.75,59.35
34.8,127.85,61.5
34.8,127.9,69.23
34.8,127.95,68.93
34.8,128.0,64.18
34.8,128.05,58.68
34.8,128.25,56.49
34.8,128.4,53.28
34.8,128.45,53.87
34.8,128.5,50.86
34.8,128.55,51.77
34.8,128.6,52.88
34.8,128.65,52.03
34.8,128.7,50.57
34.85,126.0,44.5
34.85,126.05,46.21
34.85,126.1,46.11
34.85,126.15,43.0
34.85,126.3,41.11
34.85,126.35,41.74
34.85,126.4,42.76
34.85,126.45,44.99
34.85,126.5,44.59
34.85,126.55,42.57
34.85,126.6,42.54
34.85,126.65,43.02
34.85,126.7,47.18
34.85,126.75,51.19
34.85,126.8,57.18
34.85,126.85,57.73
34.85,126.9,57.04
34.85,126.95,56.47
34.85,127.0,56.52
34.85,127.05,57.52
34.85,127.1,58.05
34.85,127.15,56.32
34.85,127.2,59.02
34.85,127.25,62.67
34.85,127.3,57.12
34.85,127.35,54.57
34.85,127.4,57.96
34.85,127.45,55.21
34.85,127.5,55.43
34.85,127.55,55.23
34.85,127.6,57.41
34.85,127.7,58.75
34.85,127.75,57.29
34.85,127.85,68.73
34.85,127.9,63.81
34.85,128.0,60.51
34.85,128.05,56.23
34.85,128.2,56.51
34.85,128.4,53.29
34.85,128.45,51.35
34.85,128.5,54.65
34.85,128.55,57.36
34.85,128.6,60.61
34.85,128.65,59.0
34.85,128.7,51.86
34.85,128.75,44.13
34.9,126.0,44.36
34.9,126.05,46.79
34.9,126.1,44.28
34.9,126.25,44.72
34.9,126.3,39.95
34.9,126.35,41.07
34.9,126.4,43.77
34.9,126.45,46.61
34.9,126.5,46.14
34.9,126.55,43.55
34.9,126.6,41.86
34.9,126.65,42.24
34.9,126.7,45.4
34.9,126.75,46.97
34.9,126.8,51.41
34.9,126.85,49.83
34.9,126.9,50.23
34.9,126.95,52.65
34.9,127.0,53.76
34.9,127.05,54.28
34.9,127.1,54.69
34.9,127.15,54.42
34.9,127.2,55.48
34.9,127.25,60.46
34.9,127.3,60.77
34.9,127.35,59.3
34.9,127.4,61.51
34.9,127.45,58.46
34.9,127.5,57.53
34.9,127.55,57.46
34.9,127.6,55.39
34.9,127.65,55.65
34.9,127.7,52.44
34.9,127.75,54.82
34.9,127.85,60.09
34.9,127.9,60.65
34.9,128.0,60.1
34.9,128.05,55.57
34.9,128.1,53.09
34.9,128.15,55.75
34.9,128.2,58.16
34.9,128.3,55.23
34.9,128.35,58.11
34.9,128.4,57.54
34.9,128.45,50.93
34.9,128.5,53.53
34.9,128.55,59.97
34.9,128.6,66.2
34.9,128.65,54.83
34.9,128.7,50.46
34.95,126.15,41.68
34.95,126.3,42.19
34.95,126.35,42.49
34.95,126.4,42.23
34.95,126.45,44.68
34.95,126.5,46.68
34.95,126.55,43.95
34.95,126.6,42.75
34.95,126.65,43.07
34.95,126.7,45.48
34.95,126.75,46.72
34.95,126.8,48.61
34.95,126.85,50.4
34.95,126.9,48.63
34.95,126.95,49.1
34.95,127.0,50.92
34.95,127.05,51.85
34.95,127.1,51.79
34.95,127.15,52.0
34.95,127.2,52.47
34.95,127.25,54.78
34.95,127.3,62.59
34.95,127.35,62.63
34.95,127.4,58.92
34.95,127.45,61.28
34.95,127.5,59.76
34.95,127.55,57.8
34.95,127.6,55.09
34.95,127.65,58.55
34.95,127.7,56.66
34.95,127.75,51.5
34.95,127.8,49.18
34.95,127.85,57.91
34.95,127.9,59.47
34.95,128.05,56.79
34.95,128.1,59.43
34.95,128.15,61.59
34.95,128.2,61.21
34.95,128.25,58.64
34.95,128.3,56.01
34.95,128.35,53.95
34.95,128.4,60.08
34.95,128.45,59.9
34.95,128.55,50.23
34.95,128.6,57.68
34.95,128.65,52.82
34.95,128.7,49.55
35.0,126.15,43.13
35.0,126.25,43.33
35.0,126.4,42.72
35.0,126.45,43.12
35.0,126.5,45.27
35.0,126.55,45.05
35.0,126.6,44.63
35.0,126.65,45.06
35.0,126.7,48.08
35.0,126.75,47.97
35.0,126.8,47.15
35.0,126.85,47.46
35.0,126.9,48.27
35.0,126.95,48.6
35.0,127.0,49.41
35.0,127.05,49.79
35.0,127.1,49.97
35.0,127.15,50.08
35.0,127.2,52.14
35.0,127.25,52.23
35.0,127.3,60.55
35.0,127.35,62.36
35.0,127.4,60.65
35.0,127.45,61.25
35.0,127.5,57.92
35.0,127.55,60.94
35.0,127.6,58.85
35.0,127.65,62.41
35.0,127.7,59.0
35.0,127.75,58.45
35.0,127.8,56.19
35.0,127.85,60.21
35.0,127.9,60.51
35.0,127.95,55.68
35.0,128.0,54.61
35.0,128.05,54.12
35.0,128.1,63.55
35.0,128.15,62.27
35.0,128.2,60.72
35.0,128.25,62.03
35.0,128.3,58.0
35.0,128.35,55.36
35.0,128.4,58.39
35.0,128.45,62.2
35.0,128.5,55.9
35.0,128.65,49.64
35.0,128.7,49.05
35.0,128.85,42.6
35.05,126.05,46.17
35.05,126.1,45.55
35.05,126.15,44.43
35.05,126.2,45.14
35.05,126.25,42.72
35.05,126.3,42.06
35.05,126.35,42.91
35.05,126.4,43.4
35.05,126.45,45.23
35.05,126.5,46.69
35.05,126.55,47.94
35.05,126.6,46.19
35.05,126.65,48.65
35.05,126.7,49.22
35.05,126.75,47.69
35.05,126.8,46.47
35.05,126.85,46.18
35.05,126.9,47.72
35.05,126.95,49.45
35.05,127.0,49.88
35.05,127.05,49.03
35.05,127.1,49.82
35.05,127.15,49.68
35.05,127.2,52.72
35.05,127.25,52.51
35.05,127.3,52.91
35.05,127.35,59.35
35.05,127.4,58.74
35.05,127.45,57.99
35.05,127.5,61.19
35.05,127.55,64.91
35.05,127.6,65.74
35.05,127.65,70.01
35.05,127.7,64.45
35.05,127.75,62.68
35.05,127.8,60.5
35.05,127.85,58.28
35.05,127.9,58.34
35.05,127.95,57.03
35.05,128.0,56.35
35.05,128.05,54.8
35.05,128.1,56.77
35.05,128.15,57.94
35.05,128.2,59.52
35.05,128.25,64.81
35.05,128.3,61.71
35.05,128.35,55.84
35.05,128.4,55.96
35.05,128.45,56.3
35.05,128.6,49.8
35.05,128.85,46.64
35.05,129.0,46.82
35.05,129.05,49.03
35.05,129.1,46.6
35.1,126.1,44.21
35.1,126.2,45.2
35.1,126.25,42.64
35.1,126.3,43.44
35.1,126.4,43.2
35.1,126.45,45.1
35.1,126.5,45.44
35.1,126.55,50.95
35.1,126.6,48.36
35.1,126.65,49.75
35.1,126.7,46.73
35.1,126.75,46.8
35.1,126.8,46.61
35.1,126.85,46.88
35.1,126.9,46.77
35.1,126.95,46.09
35.1,127.0,47.44
35.1,127.05,49.15
35.1,127.1,50.04
35.1,127.15,50.64
35.1,127.2,52.16
35.1,127.25,51.54
35.1,127.3,52.3
35.1,127.35,57.73
35.1,127.4,55.67
35.1,127.45,54.49
35.1,127.5,57.53
35.1,127.55,66.46
35.1,127.6,75.78
35.1,127.65,75.07
35.1,127.7,62.16
35.1,127.75,64.42
35.1,127.8,60.83
35.1,127.85,60.71
35.1,127.9,60.96
35.1,127.95,57.42
35.1,128.0,56.61
35.1,128.05,54.93
35.1,128.1,54.17
35.1,128.15,55.78
35.1,128.2,55.57
35.1,128.25,61.0
35.1,128.3,63.28
35.1,128.35,61.22
35.1,128.4,59.73
35.1,128.45,58.7
35.1,128.5,59.21
35.1,128.55,55.99
35.1,128.6,54.52
35.1,128.7,48.09
35.1,128.75,49.79
35.1,128.8,47.79
35.1,128.85,47.13
35.1,128.9,47.29
35.1,128.95,46.03
35.1,129.0,45.25
35.1,129.05,50.28
35.1,129.1,50.75
35.1,129.15,51.99
35.15,126.4,45.51
35.15,126.45,47.95
35.15,126.5,47.21
35.15,126.55,51.02
35.15,126.6,48.53
35.15,126.65,46.87
35.15,126.7,46.74
35.15,126.75,46.23
35.15,126.8,46.11
35.15,126.85,46.24
35.15,126.9,47.81
35.15,126.95,45.97
35.15,127.0,47.68
35.15,127.05,49.32
35.15,127.1,51.87
35.15,127.15,52.2
35.15,127.2,52.93
35.15,127.25,51.17
35.15,127.3,53.16
35.15,127.35,53.87
35.15,127.4,57.58
35.15,127.45,55.14
35.15,127.5,58.11
35.15,127.55,59.38
35.15,127.6,67.8
35.15,127.65,64.52
35.15,127.7,62.36
35.15,127.75,67.2
35.15,127.8,65.91
35.15,127.85,65.72
35.15,127.9,59.7
35.15,127.95,58.11
35.15,128.0,55.95
35.15,128.05,52.47
35.15,128.1,53.33
35.15,128.15,52.31
35.15,128.2,56.11
35.15,128.25,55.57
35.15,128.3,56.43
35.15,128.35,57.66
35.15,128.4,61.97
35.15,128.45,64.84
35.15,128.5,61.41
35.15,128.55,59.26
35.15,128.6,54.78
35.15,128.65,53.19
35.15,128.7,50.12
35.15,128.75,49.7
35.15,128.8,48.58
35.15,128.85,47.3
35.15,128.9,47.22
35.15,128.95,47.08
35.15,129.0,48.1
35.15,129.05,49.96
35.15,129.1,49.57
35.15,129.15,51.4
35.15,129.2,52.44
35.2,126.3,42.73
35.2,126.35,43.75
35.2,126.4,45.37
35.2,126.45,47.32
35.2,126.5,47.3
35.2,126.55,50.05
35.2,126.6,49.62
35.2,126.65,46.56
35.2,126.7,46.04
35.2,126.75,45.9
35.2,126.8,46.42
35.2,126.85,46.14
35.2,126.9,47.18
35.2,126.95,46.5
35.2,127.0,46.58
35.2,127.05,48.67
35.2,127.1,51.42
35.2,127.15,50.6
35.2,127.2,51.77
35.2,127.25,51.18
35.2,127.3,54.21
35.2,127.35,56.71
35.2,127.4,54.88
35.2,127.45,55.03
35.2,127.5,54.28
35.2,127.55,61.79
35.2,127.6,63.92
35.2,127.65,66.04
35.2,127.7,72.27
35.2,127.75,72.64
35.2,127.8,71.37
35.2,127.85,69.63
35.2,127.9,61.37
35.2,127.95,60.54
35.2,128.0,57.0
35.2,128.05,54.73
35.2,128.1,52.29
35.2,128.15,50.65
35.2,128.2,55.26
35.2,128.25,52.27
35.2,128.3,53.45
35.2,128.35,55.42
35.2,128.4,62.42
35.2,128.45,56.88
35.2,128.5,64.34
35.2,128.55,63.71
35.2,128.6,52.65
35.2,128.65,52.18
35.2,128.7,49.25
35.2,128.75,49.42
35.2,128.8,46.89
35.2,128.85,45.64
35.2,128.9,45.62
35.2,128.95,45.51
35.2,129.0,46.88
35.2,129.05,49.92
35.2,129.1,51.28
35.2,129.15,50.98
35.2,129.2,51.29
35.2,129.25,50.3
35.25,126.3,42.19
35.25,126.35,43.32
35.25,126.4,43.89
35.25,126.45,43.88
35.25,126.5,45.04
35.25,126.55,47.62
35.25,126.6,53.89
35.25,126.65,49.69
35.25,126.7,47.15
35.25,126.75,47.65
35.25,126.8,47.48
35.25,126.85,47.59
35.25,126.9,46.99
35.25,126.95,47.17
35.25,127.0,47.85
35.25,127.05,48.61
35.25,127.1,49.7
35.25,127.15,49.31
35.25,127.2,49.94
35.25,127.25,51.98
35.25,127.3,49.62
35.25,127.35,53.63
35.25,127.4,55.76
35.25,127.45,53.97
35.25,127.5,59.66
35.25,127.55,69.31
35.25,127.6,69.67
35.25,127.65,67.49
35.25,127.7,75.02
35.25,127.75,75.71
35.25,127.8,73.43
35.25,127.85,70.05
35.25,127.9,65.1
35.25,127.95,60.2
35.25,128.0,58.37
35.25,128.05,57.42
35.25,128.1,53.77
35.25,128.15,52.67
35.25,128.2,53.29
35.25,128.25,51.62
35.25,128.3,52.62
35.25,128.35,50.52
35.25,128.4,50.79
35.25,128.45,52.25
35.25,128.5,56.34
35.25,128.55,54.31
35.25,128.6,55.63
35.25,128.65,51.34
35.25,128.7,51.66
35.25,128.75,48.97
35.25,128.8,46.83
35.25,128.85,46.25
35.25,128.9,46.55
35.25,128.95,47.11
35.25,129.0,47.95
35.25,129.05,51.37
35.25,129.1,51.91
35.25,129.15,50.69
35.25,129.2,51.2
35.25,129.25,51.32
35.3,126.4,48.01
35.3,126.45,46.31
35.3,126.5,45.28
35.3,126.55,44.67
35.3,126.6,46.88
35.3,126.65,51.96
35.3,126.7,52.13
35.3,126.75,48.96
35.3,126.8,47.67
35.3,126.85,50.72
35.3,126.9,51.2
35.3,126.95,48.05
35.3,127.0,48.44
35.3,127.05,48.75
35.3,127.1,48.73
35.3,127.15,49.69
35.3,127.2,48.41
35.3,127.25,50.93
35.3,127.3,48.38
35.3,127.35,49.92
35.3,127.4,56.46
35.3,127.45,56.52
35.3,127.5,63.68
35.3,127.55,70.47
35.3,127.6,74.23
35.3,127.65,73.8
35.3,127.7,79.85
35.3,127.75,83.0
35.3,127.8,77.18
35.3,127.85,71.05
35.3,127.9,68.73
35.3,127.95,60.47
35.3,128.0,58.79
35.3,128.05,61.55
35.3,128.1,57.08
35.3,128.15,55.42
35.3,128.2,54.59
35.3,128.25,54.5
35.3,128.3,48.46
35.3,128.35,47.6
35.3,128.4,49.25
35.3,128.45,51.78
35.3,128.5,51.3
35.3,128.55,52.49
35.3,128.6,53.5
35.3,128.65,52.38
35.3,128.7,49.97
35.3,128.75,49.3
35.3,128.8,46.42
35.3,128.85,45.15
35.3,128.9,46.1
35.3,128.95,47.07
35.3,129.0,49.26
35.3,129.05,53.92
35.3,129.1,51.47
35.3,129.15,51.57
35.3,129.2,50.77
35.3,129.25,49.1
35.3,129.3,48.44
35.35,126.4,46.37
35.35,126.45,44.56
35.35,126.5,44.64
35.35,126.55,43.77
35.35,126.6,44.11
35.35,126.65,47.04
35.35,126.7,52.17
35.35,126.75,53.04
35.35,126.8,48.9
35.35,126.85,50.43
35.35,126.9,52.66
35.35,126.95,50.74
35.35,127.0,49.01
35.35,127.05,49.67
35.35,127.1,51.28
35.35,127.15,51.88
35.35,127.2,48.96
35.35,127.25,50.71
35.35,127.3,48.33
35.35,127.35,48.46
35.35,127.4,52.72
35.35,127.45,58.26
35.35,127.5,67.12
35.35,127.55,70.03
35.35,127.6,70.13
35.35,127.65,71.39
35.35,127.7,71.92
35.35,127.75,82.02
35.35,127.8,74.71
35.35,127.85,70.03
35.35,127.9,69.08
35.35,127.95,64.21
35.35,128.0,59.85
35.35,128.05,56.77
35.35,128.1,54.72
35.35,128.15,56.17
35.35,128.2,59.19
35.35,128.25,55.1
35.35,128.3,50.1
35.35,128.35,47.46
35.35,128.4,47.97
35.35,128.45,48.53
35.35,128.5,48.26
35.35,128.55,49.73
35.35,128.6,51.14
35.35,128.65,50.93
35.35,128.7,49.37
35.35,128.75,46.87
35.35,128.8,44.03
35.35,128.85,44.54
35.35,128.9,45.47
35.35,128.95,46.74
35.35,129.0,48.6
35.35,129.05,49.75
35.35,129.1,53.41
35.35,129.15,55.08
35.35,129.2,58.4
35.35,129.25,52.17
35.35,129.3,48.93
35.35,129.35,49.35
35.4,126.45,44.28
35.4,126.5,43.44
35.4,126.55,46.41
35.4,126.6,44.57
35.4,126.65,45.92
35.4,126.7,49.52
35.4,126.75,52.08
35.4,126.8,50.24
35.4,126.85,51.37
35.4,126.9,52.11
35.4,126.95,54.33
35.4,127.0,53.39
35.4,127.05,54.11
35.4,127.1,53.3
35.4,127.15,53.21
35.4,127.2,49.69
35.4,127.25,50.22
35.4,127.3,50.31
35.4,127.35,49.21
35.4,127.4,49.7
35.4,127.45,52.89
35.4,127.5,61.68
35.4,127.55,66.75
35.4,127.6,68.39
35.4,127.65,64.84
35.4,127.7,66.07
35.4,127.75,67.28
35.4,127.8,66.71
35.4,127.85,65.24
35.4,127.9,62.25
35.4,127.95,67.93
35.4,128.0,59.1
35.4,128.05,56.6
35.4,128.1,53.68
35.4,128.15,53.21
35.4,128.2,61.23
35.4,128.25,57.37
35.4,128.3,52.39
35.4,128.35,50.34
35.4,128.4,48.91
35.4,128.45,47.98
35.4,128.5,47.04
35.4,128.55,48.02
35.4,128.6,48.51
35.4,128.65,48.04
35.4,128.7,45.36
35.4,128.75,46.45
35.4,128.8,44.55
35.4,128.85,44.57
35.4,128.9,49.97
35.4,128.95,50.49
35.4,129.0,58.21
35.4,129.05,51.34
35.4,129.1,59.93
35.4,129.15,62.38
35.4,129.2,61.05
35.4,129.25,55.94
35.4,129.3,49.65
35.4,129.35,48.07
35.45,126.45,41.42
35.45,126.5,42.99
35.45,126.55,46.08
35.45,126.6,46.45
35.45,126.65,47.24
35.45,126.7,47.51
35.45,126.75,52.96
35.45,126.8,53.2
35.45,126.85,57.71
35.45,126.9,58.04
35.45,126.95,54.93
35.45,127.0,54.18
35.45,127.05,56.14
35.45,127.1,53.31
35.45,127.15,53.43
35.45,127.2,52.92
35.45,127.25,51.32
35.45,127.3,52.42
35.45,127.35,50.74
35.45,127.4,51.37
35.45,127.45,52.6
35.45,127.5,57.37
35.45,127.55,60.47
35.45,127.6,62.83
35.45,127.65,65.19
35.45,127.7,64.1
35.45,127.75,59.18
35.45,127.8,58.25
35.45,127.85,59.32
35.45,127.9,60.61
35.45,127.95,64.49
35.45,128.0,65.92
35.45,128.05,58.49
35.45,128.1,55.79
35.45,128.15,54.11
35.45,128.2,55.58
35.45,128.25,55.89
35.45,128.3,53.15
35.45,128.35,48.76
35.45,128.4,48.52
35.45,128.45,47.13
35.45,128.5,45.05
35.45,128.55,48.31
35.45,128.6,48.69
35.45,128.65,46.08
35.45,128.7,46.09
35.45,128.75,45.58
35.45,128.8,44.12
35.45,128.85,49.66
35.45,128.9,52.83
35.45,128.95,53.54
35.45,129.0,58.45
35.45,129.05,53.43
35.45,129.1,51.49
35.45,129.15,62.06
35.45,129.2,54.72
35.45,129.25,52.07
35.45,129.3,47.64
35.45,129.35,47.21
35.45,129.4,47.45
35.5,126.5,43.54
35.5,126.55,47.74
35.5,126.6,49.66
35.5,126.65,47.88
35.5,126.7,45.02
35.5,126.75,47.64
35.5,126.8,49.02
35.5,126.85,52.9
35.5,126.9,55.75
35.5,126.95,56.81
35.5,127.0,54.97
35.5,127.05,54.72
35.5,127.1,58.14
35.5,127.15,54.87
35.5,127.2,53.17
35.5,127.25,52.76
35.5,127.3,51.07
35.5,127.35,50.53
35.5,127.4,51.33
35.5,127.45,55.63
35.5,127.5,55.59
35.5,127.55,56.26
35.5,127.6,61.5
35.5,127.65,60.57
35.5,127.7,56.66
35.5,127.75,52.73
35.5,127.8,54.41
35.5,127.85,56.41
35.5,127.9,60.89
35.5,127.95,65.76
35.5,128.0,68.65
35.5,128.05,60.85
35.5,128.1,55.21
35.5,128.15,53.46
35.5,128.2,53.06
35.5,128.25,57.12
35.5,128.3,57.86
35.5,128.35,51.04
35.5,128.4,47.77
35.5,128.45,46.23
35.5,128.5,46.57
35.5,128.55,51.79
35.5,128.6,50.18
35.5,128.65,45.07
35.5,128.7,44.75
35.5,128.75,44.63
35.5,128.8,43.88
35.5,128.85,46.67
35.5,128.9,48.87
35.5,128.95,51.8
35.5,129.0,56.51
35.5,129.05,62.04
35.5,129.1,51.58
